"","Name","Description","coords.x1","coords.x2","coords.x3"
"62","Bond Street","<div>Zone 1</div> <div>W1C 2HU</div> <div>Latitude: 51.513798</div> <div>Longitude: -0.149614</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bond Street"">More info</a> </div>",-0.149614,51.513798,0
"63","Borough","<div>Zone 1</div> <div>SE1 1JX</div> <div>Latitude: 51.501049</div> <div>Longitude: -0.094197</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Borough"">More info</a> </div>",-0.094197,51.501049,0
"64","Boston Manor","<div>Zone 4</div> <div>TW8 9LQ</div> <div>Latitude: 51.495766</div> <div>Longitude: -0.324747</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Boston Manor"">More info</a> </div>",-0.324747,51.495766,0
"65","Bounds Green","<div>Zone 3,4</div> <div>N11 2EU</div> <div>Latitude: 51.607032</div> <div>Longitude: -0.124177</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bounds Green"">More info</a> </div>",-0.124177,51.607032,0
"66","Bow Church","<div>Zone 2</div> <div>E3 3AA</div> <div>Latitude: 51.527615</div> <div>Longitude: -0.0205</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bow Church"">More info</a> </div>",-0.0205,51.527615,0
"67","Bow Road","<div>Zone 2</div> <div>E3 4DH</div> <div>Latitude: 51.527042</div> <div>Longitude: -0.02436</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bow Road"">More info</a> </div>",-0.02436,51.527042,0
"68","Bowes Park","<div>Zone 3,4</div> <div>N22 8NL</div> <div>Latitude: 51.60725</div> <div>Longitude: -0.119792</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bowes Park"">More info</a> </div>",-0.119792,51.60725,0
"69","Brent Cross","<div>Zone 3</div> <div>NW11 9UA</div> <div>Latitude: 51.576599</div> <div>Longitude: -0.213336</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Brent Cross"">More info</a> </div>",-0.213336,51.576599,0
"70","Brentford","<div>Zone 4</div> <div>TW8 9LF</div> <div>Latitude: 51.487536</div> <div>Longitude: -0.309623</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Brentford"">More info</a> </div>",-0.309623,51.487536,0
"71","Brentwood","<div>Zone 7</div> <div>CM14 4EW</div> <div>Latitude: 51.61361</div> <div>Longitude: 0.299673</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Brentwood"">More info</a> </div>",0.299673,51.61361,0
"72","Brimsdown","<div>Zone 5</div> <div>EN3 7NA</div> <div>Latitude: 51.655245</div> <div>Longitude: -0.031092</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Brimsdown"">More info</a> </div>",-0.031092,51.655245,0
"73","Brixton","<div>Zone 2</div> <div>SW9 8HE</div> <div>Latitude: 51.462737</div> <div>Longitude: -0.114552</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Brixton"">More info</a> </div>",-0.114552,51.462737,0
"74","Brockley","<div>Zone 2</div> <div>SE4 2RW</div> <div>Latitude: 51.46475</div> <div>Longitude: -0.037748</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Brockley"">More info</a> </div>",-0.037748,51.46475,0
"75","Bromley North","<div>Zone 4</div> <div>BR1 3NN</div> <div>Latitude: 51.408942</div> <div>Longitude: 0.017235</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bromley North"">More info</a> </div>",0.017235,51.408942,0
"76","Bromley South","<div>Zone 5</div> <div>BR1 1LX</div> <div>Latitude: 51.400001</div> <div>Longitude: 0.01736</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bromley South"">More info</a> </div>",0.01736,51.400001,0
"77","Bromley-by-Bow","<div>Zone 2,3</div> <div>E3 3BT</div> <div>Latitude: 51.52484</div> <div>Longitude: -0.011682</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bromley-by-Bow"">More info</a> </div>",-0.011682,51.52484,0
"78","Brondesbury","<div>Zone 2</div> <div>NW6 7QL</div> <div>Latitude: 51.545262</div> <div>Longitude: -0.202838</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Brondesbury"">More info</a> </div>",-0.202838,51.545262,0
"79","Brondesbury Park","<div>Zone 2</div> <div>NW6 6RP</div> <div>Latitude: 51.540325</div> <div>Longitude: -0.210474</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Brondesbury Park"">More info</a> </div>",-0.210474,51.540325,0
"80","Broxbourne","<div>Zone 9</div> <div>EN10 7AW</div> <div>Latitude: 51.747016</div> <div>Longitude: -0.011024</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Broxbourne"">More info</a> </div>",-0.011024,51.747016,0
"81","Bruce Grove","<div>Zone 3</div> <div>N17 8AD</div> <div>Latitude: 51.594011</div> <div>Longitude: -0.070399</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bruce Grove"">More info</a> </div>",-0.070399,51.594011,0
"82","Buckhurst Hill","<div>Zone 5</div> <div>IG9 5ET</div> <div>Latitude: 51.626577</div> <div>Longitude: 0.046713</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Buckhurst Hill"">More info</a> </div>",0.046713,51.626577,0
"83","Burnt Oak","<div>Zone 4</div> <div>HA8 0LA</div> <div>Latitude: 51.602552</div> <div>Longitude: -0.264331</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Burnt Oak"">More info</a> </div>",-0.264331,51.602552,0
"84","Bush Hill Park","<div>Zone 5</div> <div>EN1 1BA</div> <div>Latitude: 51.641482</div> <div>Longitude: -0.06928</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bush Hill Park"">More info</a> </div>",-0.06928,51.641482,0
"85","Bushey","<div>Zone 8</div> <div>WD19 4ST</div> <div>Latitude: 51.645544</div> <div>Longitude: -0.384722</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bushey"">More info</a> </div>",-0.384722,51.645544,0
"86","Caledonian Road","<div>Zone 2</div> <div>N7 9BA</div> <div>Latitude: 51.547885</div> <div>Longitude: -0.118361</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Caledonian Road"">More info</a> </div>",-0.118361,51.547885,0
"87","Caledonian Road and Barnsbury","<div>Zone 2</div> <div>N1 0SL</div> <div>Latitude: 51.543285</div> <div>Longitude: -0.115205</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Caledonian Road and Barnsbury"">More info</a> </div>",-0.115205,51.543285,0
"88","Cambridge Heath","<div>Zone 2</div> <div>E2 7NA</div> <div>Latitude: 51.53206</div> <div>Longitude: -0.057203</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Cambridge Heath"">More info</a> </div>",-0.057203,51.53206,0
"89","Camden Road","<div>Zone 2</div> <div>NW1 9LQ</div> <div>Latitude: 51.541851</div> <div>Longitude: -0.139203</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Camden Road"">More info</a> </div>",-0.139203,51.541851,0
"90","Camden Town","<div>Zone 2</div> <div>NW1 8NH</div> <div>Latitude: 51.539969</div> <div>Longitude: -0.142452</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Camden Town"">More info</a> </div>",-0.142452,51.539969,0
"91","Canada Water","<div>Zone 2</div> <div>SE16 7BB</div> <div>Latitude: 51.498168</div> <div>Longitude: -0.050807</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Canada Water"">More info</a> </div>",-0.050807,51.498168,0
"92","Canary Wharf","<div>Zone 2</div> <div>E14 4QS</div> <div>Latitude: 51.503578</div> <div>Longitude: -0.019467</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Canary Wharf"">More info</a> </div>",-0.019467,51.503578,0
"93","Canning Town","<div>Zone 3</div> <div>E16 1DQ</div> <div>Latitude: 51.51387</div> <div>Longitude: 0.008306</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Canning Town"">More info</a> </div>",0.008306,51.51387,0
"94","Cannon Street","<div>Zone 1</div> <div>EC4N 6AP</div> <div>Latitude: 51.511362</div> <div>Longitude: -0.090251</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Cannon Street"">More info</a> </div>",-0.090251,51.511362,0
"95","Canonbury","<div>Zone 2</div> <div>N1 2PG</div> <div>Latitude: 51.548188</div> <div>Longitude: -0.092574</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Canonbury"">More info</a> </div>",-0.092574,51.548188,0
"96","Canons Park","<div>Zone 5</div> <div>HA8 6RN</div> <div>Latitude: 51.607651</div> <div>Longitude: -0.294392</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Canons Park"">More info</a> </div>",-0.294392,51.607651,0
"97","Carpenders Park","<div>Zone 7</div> <div>WD19 7DT</div> <div>Latitude: 51.628187</div> <div>Longitude: -0.385829</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Carpenders Park"">More info</a> </div>",-0.385829,51.628187,0
"98","Carshalton","<div>Zone 5</div> <div>SM5 2HT</div> <div>Latitude: 51.368426</div> <div>Longitude: -0.166398</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Carshalton"">More info</a> </div>",-0.166398,51.368426,0
"99","Carshalton Beeches","<div>Zone 5</div> <div>SM5 3LG</div> <div>Latitude: 51.357387</div> <div>Longitude: -0.169496</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Carshalton Beeches"">More info</a> </div>",-0.169496,51.357387,0
"100","Castle Bar Park","<div>Zone 4</div> <div>W7 1AY</div> <div>Latitude: 51.522974</div> <div>Longitude: -0.331504</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Castle Bar Park"">More info</a> </div>",-0.331504,51.522974,0
"101","Caterham","<div>Zone 6</div> <div>CR3 6LB</div> <div>Latitude: 51.282163</div> <div>Longitude: -0.078607</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Caterham"">More info</a> </div>",-0.078607,51.282163,0
"102","Catford","<div>Zone 3</div> <div>SE6 4XT</div> <div>Latitude: 51.444265</div> <div>Longitude: -0.026538</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Catford"">More info</a> </div>",-0.026538,51.444265,0
"103","Catford Bridge","<div>Zone 3</div> <div>SE6 4RE</div> <div>Latitude: 51.444695</div> <div>Longitude: -0.024822</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Catford Bridge"">More info</a> </div>",-0.024822,51.444695,0
"104","Centrale","<div>Zone 3,4,5,6</div> <div>CR0 1XT</div> <div>Latitude: 51.375767</div> <div>Longitude: -0.103888</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Centrale"">More info</a> </div>",-0.103888,51.375767,0
"105","Chadwell Heath","<div>Zone 5</div> <div>RM6 4BE</div> <div>Latitude: 51.568047</div> <div>Longitude: 0.128901</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Chadwell Heath"">More info</a> </div>",0.128901,51.568047,0
"106","Chafford Hundred","<div>Zone 7</div> <div>RM16 6QQ</div> <div>Latitude: 51.485554</div> <div>Longitude: 0.287476</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Chafford Hundred"">More info</a> </div>",0.287476,51.485554,0
"107","Chalfont and Latimer","<div>Zone 8</div> <div>HP7 9PR</div> <div>Latitude: 51.667907</div> <div>Longitude: -0.561068</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Chalfont and Latimer"">More info</a> </div>",-0.561068,51.667907,0
"108","Chalk Farm","<div>Zone 2</div> <div>NW3 2BP</div> <div>Latitude: 51.544149</div> <div>Longitude: -0.153733</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Chalk Farm"">More info</a> </div>",-0.153733,51.544149,0
"109","Chancery Lane","<div>Zone 1</div> <div>WC1V 6DR</div> <div>Latitude: 51.518494</div> <div>Longitude: -0.111962</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Chancery Lane"">More info</a> </div>",-0.111962,51.518494,0
"110","Charing Cross","<div>Zone 1</div> <div>WC2N 5HS</div> <div>Latitude: 51.508359</div> <div>Longitude: -0.124803</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Charing Cross"">More info</a> </div>",-0.124803,51.508359,0
